# Rust crates linked into libtokenizers inside ai.djl.huggingface:tokenizers:0.38.0
# Generated by tools/third-party/refresh-tokenizers-crates.py from DJL v0.38.0's
# extensions/tokenizers/rust/Cargo.lock (normal deps, targets: x86_64-unknown-linux-gnu, aarch64-unknown-linux-gnu, aarch64-apple-darwin, x86_64-pc-windows-gnu).
# Columns: crate, version, licence (Cargo.toml), origin, licence text ids in third-party/texts
# ('-' = the crate ships no licence file; the generator uses the canonical SPDX text).
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	crates.io	861399f8c21c042b,8ada45cd9f843acf,23f18e03dc49df91
ahash	0.8.12	MIT OR Apache-2.0	crates.io	a60eea8175145316,0444c6991eead682
aho-corasick	1.1.3	Unlicense OR MIT	crates.io	01c266bced4a434d,0f96a83840e146e4,7e12e5df4bae12cb
base64	0.13.1	MIT/Apache-2.0	crates.io	a60eea8175145316,0dd882e53de11566
base64	0.22.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,0dd882e53de11566
bit-set	0.5.3	MIT/Apache-2.0	crates.io	8173d5c29b4f956d,c9a75f18b9ab2927
bit-vec	0.6.3	MIT/Apache-2.0	crates.io	8173d5c29b4f956d,7b63ecd5f1902af1
bitflags	1.3.2	MIT/Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
bitflags	2.9.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
bytemuck	1.23.1	Zlib OR Apache-2.0 OR MIT	crates.io	e3ba223bb1423f0a,9df9ba60a11af705,84b34dd7608f7fb9
bytemuck_derive	1.10.0	Zlib OR Apache-2.0 OR MIT	crates.io	e3ba223bb1423f0a,9df9ba60a11af705,84b34dd7608f7fb9
byteorder	1.5.0	Unlicense OR MIT	crates.io	01c266bced4a434d,0f96a83840e146e4,7e12e5df4bae12cb
bytes	1.10.1	MIT	crates.io	45f522cacecb1023
candle-core	0.8.4	MIT OR Apache-2.0	https://github.com/huggingface/candle@638102398225	c71d239df91726fc
candle-nn	0.8.4	MIT OR Apache-2.0	https://github.com/huggingface/candle@638102398225	c71d239df91726fc,23f18e03dc49df91
candle-transformers	0.8.4	MIT OR Apache-2.0	https://github.com/huggingface/candle@638102398225	c71d239df91726fc,23f18e03dc49df91
castaway	0.2.4	MIT	crates.io	f98e09091d5ae02b
cesu8	1.1.0	Apache-2.0/MIT	crates.io	5ca77347e58205d3
cfg-if	1.0.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,378f5840b258e277
combine	4.6.7	MIT	crates.io	09f1f96437694942
compact_str	0.9.0	MIT	crates.io	0d52feec79589df3
console	0.15.11	MIT	crates.io	3e1de3c527ab2512
crc32fast	1.5.0	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,61d383b05b87d78f
crossbeam-deque	0.8.6	MIT OR Apache-2.0	crates.io	a60eea8175145316,5734ed989dfca1f6
crossbeam-epoch	0.9.18	MIT OR Apache-2.0	crates.io	a60eea8175145316,5734ed989dfca1f6
crossbeam-utils	0.8.21	MIT OR Apache-2.0	crates.io	a60eea8175145316,5734ed989dfca1f6
darling	0.20.11	MIT	crates.io	8ea93490d74a5a1b
darling_core	0.20.11	MIT	crates.io	8ea93490d74a5a1b
darling_macro	0.20.11	MIT	crates.io	8ea93490d74a5a1b
dary_heap	0.3.7	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
derive_builder	0.20.2	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,8c9612877aacfa1b
derive_builder_core	0.20.2	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,8c9612877aacfa1b
derive_builder_macro	0.20.2	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,8c9612877aacfa1b
dirs	6.0.0	MIT OR Apache-2.0	crates.io	d3174ad63e721d4c,6a2e0ade09a7d5f8
dirs-sys	0.5.0	MIT OR Apache-2.0	crates.io	d3174ad63e721d4c,6a2e0ade09a7d5f8
displaydoc	0.2.5	MIT OR Apache-2.0	crates.io	a60eea8175145316,23f18e03dc49df91
dyn-stack	0.10.0	MIT	crates.io	bf5a93d1014429b4
dyn-stack	0.13.0	MIT	crates.io	bf5a93d1014429b4
either	1.15.0	MIT OR Apache-2.0	crates.io	a60eea8175145316,7576269ea71f767b
encode_unicode	1.0.0	Apache-2.0 OR MIT	crates.io	cfc7749b96f63bd3,da23be69ad3ccf7a
enum-as-inner	0.6.1	MIT/Apache-2.0	crates.io	b40930bbcf80744c,10d73bf26900fa6d,b54db71f7d0b1f62
equivalent	1.0.2	Apache-2.0 OR MIT	crates.io	a60eea8175145316,7365cc8878a1d7ce
esaxx-rs	0.1.10	Apache-2.0	crates.io	c71d239df91726fc
fancy-regex	0.13.0	MIT	crates.io	3bc70e239e912727
flate2	1.1.2	MIT OR Apache-2.0	crates.io	a60eea8175145316,75d3bf11a47fed60
fnv	1.0.7	Apache-2.0 / MIT	crates.io	a60eea8175145316,65fdb6c76cd61612
foreign-types	0.3.2	MIT/Apache-2.0	crates.io	b40930bbcf80744c,333ea3aaa3cadb81
foreign-types-shared	0.1.1	MIT/Apache-2.0	crates.io	b40930bbcf80744c,333ea3aaa3cadb81
form_urlencoded	1.2.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,20c7855c364d57ea
gemm	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-c32	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-c32	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-c64	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-c64	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-common	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-common	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-f16	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-f16	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-f32	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-f32	0.18.2	MIT	crates.io	d64f878c89bd5f1e
gemm-f64	0.17.1	MIT	crates.io	d64f878c89bd5f1e
gemm-f64	0.18.2	MIT	crates.io	d64f878c89bd5f1e
getrandom	0.2.16	MIT OR Apache-2.0	crates.io	aaff376532ea30a0,42fa16951ce7f24b
getrandom	0.3.3	MIT OR Apache-2.0	crates.io	aaff376532ea30a0,29e9fe5074bd27e0
half	2.6.0	MIT OR Apache-2.0	crates.io	a6cba85bc92e0cff,508a77d2e7b51d98
hashbrown	0.15.4	MIT OR Apache-2.0	crates.io	a60eea8175145316,ff8f68cb076caf8c
heck	0.5.0	MIT OR Apache-2.0	crates.io	a60eea8175145316,7b63ecd5f1902af1
hf-hub	0.4.3	Apache-2.0	crates.io	cfc7749b96f63bd3
http	1.3.1	MIT OR Apache-2.0	crates.io	8bb1b50b0e5c9399,dc91f8200e4b2a1f
icu_collections	2.0.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_locale_core	2.0.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_normalizer	2.0.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_normalizer_data	2.0.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_properties	2.0.1	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_properties_data	2.0.1	Unicode-3.0	crates.io	f367c1b8e1aa2624
icu_provider	2.0.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
ident_case	1.0.1	MIT/Apache-2.0	crates.io	508a77d2e7b51d98
idna	1.0.3	MIT OR Apache-2.0	crates.io	a60eea8175145316,76e972ac0f4ddb11
idna_adapter	1.2.1	Apache-2.0 OR MIT	crates.io	a60eea8175145316,8b43ce8accd61e9d
indexmap	2.10.0	Apache-2.0 OR MIT	crates.io	a60eea8175145316,ecc269ef87fd38a1
indicatif	0.17.11	MIT	crates.io	3e1de3c527ab2512
itertools	0.14.0	MIT OR Apache-2.0	crates.io	a60eea8175145316,7576269ea71f767b
itoa	1.0.15	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
