# Rust crates linked into libloupe_tokenizers.a (ios-native/tokenizers-ffi, LoupeTokenizers.xcframework)
# Generated by tools/third-party/refresh-tokenizers-crates.py --ios from
# ios-native/tokenizers-ffi/Cargo.lock (normal deps, targets: aarch64-apple-ios, aarch64-apple-ios-sim).
# Columns: crate, version, licence (Cargo.toml), origin, licence text ids in third-party/texts
# ('-' = the crate ships no licence file; the generator uses the canonical SPDX text).
ryu	1.0.23	Apache-2.0 OR BSL-1.0	crates.io	62c7a1e35f564068,c9bff75738922193
serde	1.0.229	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_core	1.0.229	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_derive	1.0.229	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
serde_json	1.0.151	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
smallvec	1.16.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,0b28172679e0009b
spm_precompiled	0.1.4	Apache-2.0	crates.io	c71d239df91726fc
static_assertions	1.1.0	MIT OR Apache-2.0	crates.io	cfc7749b96f63bd3,ea084a2373ebc1f0
strsim	0.11.1	MIT	crates.io	1e697ce8d21401fb
syn	2.0.119	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
syn	3.0.6	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
thiserror	2.0.20	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
thiserror-impl	2.0.20	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
tokenizers	0.21.4	Apache-2.0	crates.io	c71d239df91726fc
unicode-ident	1.0.26	(MIT OR Apache-2.0) AND Unicode-3.0	crates.io	62c7a1e35f564068,23f18e03dc49df91,f7db81051789b729
unicode-normalization-alignments	0.1.12	MIT/Apache-2.0	crates.io	23860c2a7b5d96b2,a60eea8175145316,7b63ecd5f1902af1
unicode-segmentation	1.13.3	MIT OR Apache-2.0	crates.io	23860c2a7b5d96b2,a60eea8175145316,7b63ecd5f1902af1
unicode_categories	0.1.1	MIT OR Apache-2.0	crates.io	b40930bbcf80744c,98a817e7b85e5fe4
zerocopy	0.8.57	BSD-2-Clause OR Apache-2.0 OR MIT	crates.io	1520f0253bb05bbf,83c1763356e822ad,24fa231567ace7e0
zmij	1.0.23	MIT	crates.io	23f18e03dc49df91
